auteur_nom,auteur_id
Agatha Christie,1
Alan L. Myers,2
Albert Camus,3
Alex Michaelides,4
Ali Hazelwood,5
Ana Huang,6
Anne Frank,7
Antoine de Saint-Exupery,8
Aron Beauregard,9
Barbara O'Neill,10
Bessel van der Kolk,11
Bianca Sparacino,12
Bible,13
Bram Stoker,14
Brandon Sanderson,15
Brianna Wiest,16
Cal Newport,17
Chinua Achebe,18
Chitra Banerjee Divakaruni,19
Christopher Leonard,20
Colleen Hoover,21
"Cooper, William",22
Cun Shang Chun Shu ,23
Dale Carnegie,24
Daniel Kahneman,25
Dav Pilkey,26
David Goggins,27
David J. Pelzer,28
Dharamvir Bharti,29
Divya Prakash Dubey,30
E. B. White,31
E. L. James,32
Eckhart Tolle,33
Emily Bronte,34
Eric Berne,35
Eric Carle,36
Eric Ries,37
Eric Robertson,38
Erich Fromm,39
Erin Hunter,40
Ernest Hemingway,41
Fiodor Mikhailovich Dostoevskii,42
Franz Kafka,43
Freida McFadden,44
Gabriel Garcia Marquez,45
Gary Goldschneider,46
George Orwell,47
George R. R. Martin,48
George S. Clason,49
Gerard J. Tortora,50
"Graham, Benjamin;Zweig, Jason",51
Grant Cardone,52
Gregory Maguire,53
H. D. Carlton,54
Hannah Grace,55
Hanya Yanagihara,56
Harper Lee,57
Hector Garcia,58
Holly Black,59
Holly Jackson,60
Hungry Minds,61
Iande Albuquerque,62
Ichiro Kishimi,63
"Imam ghozali, 2018",64
J. K. Rowling,65
J.R.R. Tolkien,66
Jaclin Marie,67
James Allen,68
James Clear,69
James Dashner,70
Jane Austen,71
Jeff Kinney,72
Jesus Yanes,73
John Gray,74
John Green,75
Jordan B. Peterson,76
Joseph Murphy,77
Karen Horney,78
Kasmir,79
Kathleen Glasgow,80
Laura Amy Schlitz,81
Lauren Roberts,82
Leil Lowndes,83
Leila S. Chudori,84
Leon G. Schiffman,85
Lewis Carroll,86
Lois Lowry,87
Louisa May Alcott,88
Lynn Painter,89
MTG Editorial Board,90
Mallanaga Vatsyayana,91
Marcus Aurelius,92
Margaret Atwood,93
Mark Douglas,94
Mark Manson,95
Markus Zusak,96
Mel Robbins,97
Mercedes Ron,98
Michael Crichton,99
Michele Bernhardt,100
Modern Psychology Publishing,101
Morgan Housel,102
Napoleon Hill,103
Navessa Allen,104
Niccolo Machiavelli,105
Nicolas Berube,106
Nicole Apelian,107
Norman Vincent Peale,108
Osamu Dazai,109
Patrick King,110
Paulo Coelho,111
Peter A. Thiel,112
Philip Kotler,113
Pramoedya Ananta Toer,114
Rachel Renee Russell,115
Raina Telgemeier,116
Ray Bradbury,117
Rebecca Yarros,118
Rhonda Byrne,119
Rick Riordan,120
Rithvik Singh,121
Robert Greene,122
Robert T. Kiyosaki,123
Roger Shattuck,124
Sam McBratney,125
Sarah J. Maas,126
Sherry Argov,127
Shivaji Sawant,128
Shuntaro Tanikawa,129
Stephen King,130
Stephen R. Covey,131
Stephenie Meyer,132
Sun Tzu,133
SuperSummary,134
Suzanne Collins,135
Tahereh Mafi,136
Taylor Jenkins Reid,137
Thomas Erikson,138
Vex King,139
Viktor E. Frankl,140
William Golding,141
William Shakespeare,142
Yogananda Paramahansa,143
Yuval Noah Harari,144
indisponible,145
