livre_id,auteur_id
1,2
2,3
3,4
4,4
5,4
6,5
7,4
8,6
9,7
10,8
11,9
12,10
13,11
14,10
15,12
16,7
17,13
18,14
19,15
20,16
21,17
22,18
23,19
24,20
25,21
26,22
27,23
28,24
29,25
30,26
31,27
32,28
33,29
34,30
35,31
36,15
37,32
38,33
39,34
40,35
41,36
42,37
43,38
44,39
45,40
46,41
47,42
48,43
49,44
50,45
51,46
52,47
53,46
54,48
55,46
56,49
57,50
58,51
59,52
60,53
61,54
62,55
63,56
64,57
65,58
66,59
67,60
68,61
69,62
70,63
71,64
72,65
73,66
74,67
75,68
76,69
77,70
78,71
79,1
80,71
81,1
82,72
83,73
84,74
85,75
86,76
87,77
88,78
89,79
90,80
91,81
92,82
93,83
94,84
