editeur_id,editeur_nom
2,Kepustakaan Populer Gramedia
3,MIRA
4,Indiana University Press
5,True Sign Publishing House
6,CreateSpace Independent Publishing Platform
7,McGraw-Hill Education
8,Allyn and Bacon
9,Gramedia Pustaka Utama
10,"Press, Forlaget"
11,Giunti
12,Welbeck Publishing Group Ltd.
13,Oxford University Press
14,Permabooks of Canada
15,S.Chand & Co.
16,Independently Published
17,"Sourcebooks, Incorporated"
18,Ebury Publishing
19,"O'Neill, Barbara"
20,University of California Press
21,"Wiley & Sons Australia, Limited, John"
22,Tipografia armena di San Lazzaro
23,"University of San Carlos Press, University of San Carlos"
24,Elsevier Mosby
25,Editora Nacional
26,J'ai Lu
27,Bloomsbury Publishing USA
28,"Thieme, Stuttgart"
29,Dtv
30,St. Lucie Press
31,MC GRAW HILL INDIA
32,"Little, Brown Book Group Limited"
33,Wai yu jiao xue yu yan jiu chu ban she
34,JC Lattes
35,Hugo et compagnie
36,Games Workshop
37,Infopress
38,Ace Books
39,Princeton University Press
40,Grosset & Dunlap
41,Edicoes Nova Renascenca
42,Intrinseca
43,Walter J Black
44,"O'Reilly Media, Incorporated"
45,Bantam Books
46,Routledge
47,Houghton Mifflin Harcourt Publishing Company
48,Scholastic
49,Taylor & Francis Group
50,Clarion Books
51,L.A. Mayer Memorial Institute for Islamic Art
52,Pearson
53,Sachindra Kumar Mitra
54,Fontana
55,Patron
56,Henry Holt
57,White Thread Press
58,Gyldendal
59,Macmillan
60,Irish Academic Press
61,"Imprima Korea, INc."
62,Benjamin Cummings
63,Jiang xi ren min chu ban she
64,Lyon and Lamb
65,"Norton & Company, Incorporated, W. W."
66,Thames and Hudson
67,Kadokawa Shoten
68,St. Martin's Essentials
69,Wildside Press
70,Ebury Press
71,Penguin Life
72,Moonhak Soochup Publishing
73,"Bandung : PT Remaja Rosdakarya, 2018"
74,Gallimard-Jeunesse
75,Houghton Mifflin
76,McGraw-Hill
77,Carl Hanser
78,Paraninfo
79,Scholastic Paperbacks
80,Editura Didactica si Pedagogica
81,Shambhala
82,Harlequin
83,Tian xia yuan jian chu ban gu fen you xian gong si
84,NATHAN
85,Groundwood
86,Anaya
87,Jose Ferrer de Orga
88,De Boeck universite
