livre_id,livre_nom,livre_nombre_de_pages,livre_note,ISBN_10,ISBN_13,ISBN_defaut,ISBN_verifie,livre_date
1,laut bercerita,390,4.1 ,,9782895123552,9786024246945,0,2017.0
2,the secret keeper of jaipur,384,5.0 ,2381225218,,9780778331858,0,2021.0
3,the world of premchand,215,,,2021443582,,0,1969.0
4,mansarovar - 5,254,,,,9789390852857,0,2021.0
5,mansarovar - part 6,274,,,,9781537252261,0,2016.0
6,cultural anthropology loose leaf edition,412,,,2307022147,9781260711561,0,2021.0
7,mansarovar - part 1,328,,,,9781537178943,0,2016.0
8,applied statistics,773,,,2744075973,,0,1982.0
9,negeri para bedebah,152,5.0 ,,9782882501110,,0,2012.0
10,lars elling,200,,,2246668891,9788275473866,0,2010.0
11,il gatto col cappello / the cat in the hat,67,4.1 ,,2359050893,9788809208704,0,1999.0
12,ronaldo rules,128,5.0 ,2821212348,,9781783125784,0,2020.0
13,an introduction to game theory,533,,,9782746218727,,0,2004.0
14,football superstars,128,,,2226455434,9781783125364,0,2020.0
15,word power made easy,412,,2521102768,,,0,1963.0
16,hujan,320,4.1 ,,2501154347,9786020324784,0,2018.0
17,science for tenth class physics (part 1),264,,,,9788121913171,0,2000.0
18,how to be confident,212,,,2813219266,9781791504359,0,2019.0
19,king of pride,308,4.2 ,,9782893938332,9781728289731,0,2023.0
20,bird on my windowsill,448,,,9782890212787,9780143464624,0,2024.0
21,sustain me : a handbook of natural remedies,290,3.0 ,,2412040591,9780648611875,0,2024.0
22,globalization,382,,,2810010234,9780520395756,0,2023.0
23,principles of plasma discharges and materials processing,744,,,9782744501128,9780471724254,0,2005.0
24,storia di mose corenese,403,5.0 ,,,,0,
25,the battle for cebu,307,,,2258124107,9789715390422,0,2014.0
26,diagnostic ultrasound,585,,,9782294017902,,0,2005.0
27,poesia simbolista francesa,432,,,2296470785,,0,1975.0
28,diary of an oxygen thief,151,4.1 ,,,9781501157851,0,2016.0
29,the 100-year life,264,,,9791023512854,9781472930156,0,2016.0
30,le trone de fer,416,4.2 ,2290019437,9782290019436,,0,2011.0
31,court of thorns and roses hardcover box set,3300,5.0 ,,9782732487595,9781635577716,0,2021.0
32,sprachstorungen im kindesalter. materialien zur fruherkennung und beratung.,145,,,,9783137785040,0,2000.0
33,gefangen in new york.,138,,,9782870092613,9783423078177,0,1981.0
34,erp,424,,,9782281141528,,0,2000.0
35,"object oriented programming with c++, 8th edition",226,4.0 ,,2322251917,9789389949186,0,2019.0
36,twisted love,210,3.7 ,2019456486,,9780349434278,0,2022.0
37,the study of language,299,5.0 ,2010527003,,9787560019536,0,2000.0
38,cinquante nuances de grey,672,4.0 ,2253176508,9782253176503,,0,2014.0
39,after,706,4.5 ,2755617349,9782755617344,,0,2015.0
40,codex tau empire,134,5.0 ,,,9781785810091,0,2015.0
41,aprendendo a aprender,347,3.5 ,,9782290409213,9788586622458,0,2015.0
42,dune,541,4.3 ,2266027220,,,0,1965.0
43,the global city,398,,,2340045142,9780691070636,0,2001.0
44,the phantom of the opera,357,3.9 ,2253009504,,,0,1911.0
45,introducao a filosofia,227,,,282490366X,,0,1981.0
46,a sutil arte de ligar o f*da-se,72,4.1 ,2212567596,,9788551002490,0,2017.0
47,funerals are fatal,418,4.5 ,2253036609,,,0,1953.0
48,designing machine learning systems,386,,,2212801602,9781098107963,0,2022.0
49,the sixties,513,5.0 ,2080116622,,,0,1987.0
50,"elizabeth i and religion, 1558-1603",73,,,,,0,1994.0
51,rumpelstiltskin (read-aloud),40,5.0 ,,9782884450393,9780544245518,0,2013.0
52,mrs. piggle-wiggle,119,4.1 ,,,9780590413862,0,1987.0
53,rumpelstiltskin,40,5.0 ,,2849337927,9780544245532,0,2013.0
54,"rebellion and disorder under the tudors, 1485-1603",122,,,9782262066116,9781471876615,0,2017.0
55,rumpelstiltskin big book,32,5.0 ,2700010663,,9780544555556,0,2015.0
56,early islamic glass,38,,,9782752400062,,0,1979.0
57,fundamentals of statistics,704,,,2807343414,9780134508306,0,2017.0
58,sree sree digambar baba,80,,,,,0,1994.0
59,mere christianity,167,,285031580X,,,0,1971.0
60,lineamenti di storia della scrittura latina,555,,,,,0,1997.0
61,women who think too much,273,2.8 ,2501049616,,,0,2004.0
62,the beginning of guidance,201,,,9782763772035,9781933764061,0,2010.0
63,wimpy kid. ikke en dagbog (in danish),,4.2 ,,9791023520651,9788702126754,0,2012.0
64,the iliad of homer,170,4.0 ,,,,0,1911.0
65,percy jackson and the olympians,400,4.5 ,2226195440,,9781423121718,0,
66,dunlop dynasty,342,,,,9781785374821,0,2023.0
67,men are from mars women are from venus,359,3.8 ,2290336726,,9788973997121,0,1993.0
68,"world of the cell, the (7th edition)",912,,,2832550533,9780805393934,0,2008.0
69,ren xing de ruo dian ,296,4.2 ,,2379350671,9787210023340,0,2001.0
70,the other six days,46,,,2950041906,9780952778189,0,2017.0
71,conscience,272,,,2896262849,9781324000891,0,2019.0
72,palladio and english palladianism.,224,,,,,0,1974.0
73,za shikuretto,318,3.8 ,,,9784047915572,0,2007.0
74,surrounded by idiots,304,4.1 ,,,9781250179944,0,2019.0
75,the power of your subconscious mind,224,4.0 ,,9782761955096,9781434441638,0,2013.0
76,thank you for leaving,200,1.0 ,,2280428008,9789367901229,0,2025.0
77,ikigai,194,3.8 ,,9791033911401,9780143130727,0,2017.0
78,haeripoteowa ajeukabanyi joesu,511,4.3 ,2070528189,,9788989708698,0,2003.0
79,metode penelitian kualitatif,165,5.0 ,,2760551415,,0,2018.0
80,harry potter et la chambre des secrets,145,4.2 ,2070619184,9782070619184,,0,2008.0
81,the weaver's gift (leveled readers),22,5.0 ,,,9780618291236,0,2004.0
82,hydronic system design and operation,556,,,,,0,1985.0
83,power. die 48 gesetze der macht. ein joost- elffers- buch.,337,4.1 ,2848992549,,9783446197596,0,1999.0
84,tesis doctorales y trabajos de investigacion,504,,,9782013073882,9788428320528,0,1995.0
