livre_id,thematique_id
13,2
55,2
50,2
40,2
54,2
30,3
38,4
28,5
19,6
11,7
30,8
63,9
85,9
65,9
31,10
24,11
15,12
47,13
19,14
65,15
6,16
8,17
48,18
81,19
72,19
24,20
10,21
56,21
37,22
37,23
74,24
29,24
73,24
73,25
74,26
29,26
28,27
75,28
73,28
77,28
73,29
83,30
75,30
46,31
78,32
47,33
39,34
46,34
58,35
22,35
68,36
30,37
77,38
73,38
87,39
87,40
87,41
35,42
28,43
28,44
65,45
75,46
68,47
22,48
43,49
82,50
23,51
87,52
44,53
24,54
93,55
34,56
92,57
94,58
89,59
74,60
67,60
67,61
74,62
67,63
74,64
52,65
52,66
46,67
52,68
52,69
44,70
44,71
48,72
89,73
82,74
43,75
49,76
77,76
52,77
69,77
83,77
2,77
46,77
94,78
71,79
39,80
36,80
28,81
93,82
83,83
87,84
30,85
28,86
65,87
24,88
91,89
68,90
89,91
24,92
26,93
69,94
75,95
75,96
87,97
62,97
38,98
38,99
30,100
42,101
66,102
29,103
23,104
26,105
80,106
63,106
85,106
8,107
93,107
29,107
32,108
50,109
50,110
19,111
47,112
83,113
30,114
11,115
29,116
87,117
61,118
71,119
39,120
38,120
54,121
54,122
54,123
54,124
61,125
8,125
10,126
67,127
63,128
80,129
78,129
40,130
30,131
31,132
80,132
78,132
31,133
61,134
39,134
38,135
4,136
63,136
93,136
44,136
7,136
5,136
88,136
42,136
52,136
80,136
38,136
85,136
28,136
47,136
39,136
31,136
55,136
36,136
38,137
38,138
30,139
78,140
9,141
53,142
52,142
65,142
63,142
80,142
11,142
85,142
55,143
85,143
31,143
94,144
43,144
94,145
94,146
78,147
24,148
88,148
42,148
24,149
8,150
89,150
34,151
34,152
34,153
15,154
54,155
50,155
54,156
64,157
30,158
64,159
47,160
54,161
24,161
25,161
49,161
50,161
50,162
44,163
85,164
52,164
47,165
11,166
63,166
80,167
63,167
38,168
82,169
86,170
77,171
26,172
90,173
43,174
72,175
34,176
89,177
94,178
62,179
85,180
77,181
40,182
40,183
63,184
85,184
85,185
21,186
93,187
73,188
42,189
52,190
29,191
37,192
44,193
44,194
37,195
77,196
78,197
78,198
11,199
64,199
44,199
19,200
93,201
62,201
22,202
37,203
78,204
64,205
11,206
65,207
11,208
27,209
48,210
34,211
29,212
77,212
66,213
80,214
82,215
8,215
8,216
67,217
80,218
11,219
24,220
8,221
43,222
85,223
63,223
73,224
52,225
22,226
65,227
36,228
47,229
47,230
65,231
61,232
80,233
71,234
71,235
42,236
71,236
83,237
37,237
75,237
67,237
1,238
51,238
14,238
10,239
89,240
36,241
73,242
36,243
46,244
39,245
64,246
44,247
78,248
93,249
60,250
10,251
10,252
73,253
65,254
65,255
69,256
44,257
68,258
58,259
45,260
68,261
40,262
64,263
11,263
76,263
64,264
27,265
64,266
61,267
83,268
83,269
61,270
8,270
29,271
35,272
33,273
61,273
75,273
69,274
69,275
13,276
77,277
49,278
84,279
94,280
79,281
50,282
50,283
94,284
43,284
39,285
38,285
67,285
28,286
69,287
28,287
67,287
59,288
41,288
16,288
50,288
87,289
29,290
39,291
19,291
36,291
19,292
19,293
19,294
19,295
21,296
17,297
83,298
93,298
93,299
20,300
3,300
8,300
89,301
18,302
43,303
43,304
74,305
24,306
29,307
12,308
57,309
8,309
19,310
75,311
69,312
69,313
73,313
69,314
23,315
34,316
37,317
49,318
75,319
34,320
89,321
34,322
34,323
13,324
70,325
43,326
27,327
30,328
54,329
26,330
64,331
11,332
63,333
62,334
77,335
87,336
15,337
22,338
40,339
40,340
78,341
80,342
94,343
67,344
