auteur_nom,auteur_id
Debbie Raleigh,1753
"""Duffy""",1754
Cheryl Siewierski,1755
Charles H. Townes,1756
Margaret Davidson,1757
Robert Cialdini,1758
Shirl Henke,1759
C. R. Dodwell,1760
Edward D. Radin,1761
Jesus Yanes,1762
Peter Gloviczki,1763
Andy Weir,1764
Claude J. Simon,1765
Maeve Binchy,1766
Marisetty Bilmoria Rani,1767
Ralph Moseley,1768
Deborah Hughes-Hallett,1769
Augusto Cury,1770
Ernest Cline,1771
Michael Pace,1772
William Lee Johnson,1773
Annamma Jacob,1774
David Smyth,1775
Jennette McCurdy,1776
Andrew S. Tanenbaum,1777
Diana Hendry,1778
Einhard,1779
Martha Kousountidou,1780
Natalia Nikitina,1781
Robert Alan Dahl,1782
Bhagwan Singh.,1783
Joy Monice Malnar,1784
Max Sutherland,1785
Elif Safak,1786
Swami Adgadanand,1787
Ilyas Ba-Yunus,1788
Sam Shepard,1789
Kwame Nkrumah,1790
Marcos Habif,1791
Thea Atkinson,1792
Elizabeth Raum,1793
Ngugi wa Thiong'o,1794
J. J. Milteau,1795
Mary Gaitskill,1796
"Rogers, Carl R.",1797
Og Mandino,1798
Richard Osman,1799
Jacques Cotnam,1800
Surinder Singh Johar,1801
Jerome M. Sattler,1802
"Bruno of Querfurt, Saint",1803
Phil Duncan,1804
William H. Masters,1805
Francoise Collin,1806
Leela Prasad,1807
Rene Thom,1808
Ruth Wagner,1809
David Barrett,1810
Alan D. Sokal,1811
Andre Ross,1812
Patrick Trabal,1813
Peter Krampert,1814
Gilles Grenon,1815
Richard H. Thaler,1816
Pete Moore,1817
Jean Baptiste Joseph Delambre,1818
Geetanjali Shree,1819
Paul Tannery,1820
Theo Huijbers,1821
Jessica Minnick,1822
H'ctor Garc!a and Fracesc Miralles,1823
