livre_id,auteur_id
2367,1753
2368,1754
2369,1755
2372,1756
2373,1757
2374,1758
2375,1759
2376,1760
2378,1761
2379,1762
2380,1763
2381,1764
2382,1765
2383,1766
2384,1766
2385,1767
2386,1768
2387,1769
2388,1770
2389,1771
2390,1771
2391,1771
2392,1772
2393,1773
2394,1774
2395,1775
2398,1776
2400,1777
2401,1778
2402,1
2403,1779
2404,1500
2405,1780
2406,1781
2407,1782
2408,577
2409,1783
2411,1784
2414,1785
2416,1786
2417,1787
2418,1788
2419,1789
2420,1790
2421,1791
2422,1792
2424,1793
2425,1794
2426,1795
2427,1796
2428,1797
2429,73
2430,1798
2431,1799
2432,1800
2433,1801
2434,1802
2435,1803
2437,1804
2438,1805
2439,1806
2440,1807
2441,1808
2442,1809
2443,1810
2444,1811
2445,1
2446,1812
2447,1813
2448,1814
2449,1815
2450,1816
2451,1817
2452,1818
2453,1819
2454,1820
2455,1821
2456,1822
2457,1823
