editeur_id,editeur_nom
1152,"SAGE Publications, Limited"
1153,Kugler
1154,Amber-Allen Publishing
1155,The Rosary Press
1156,Edward Arnold
1157,Pearson Canada
1158,Palme Yayincilik - Akademik Kitaplar
1159,Tuttle Publishing
1160,Editions du renouveau pedagogique
1161,Heinemann
1162,Samenw. uitgeverijen Meulenhoff Boekerij
1163,Thomson/West
1164,Harvard University Press
1165,Muller
1166,Karbon Kitaplar
1167,Bastei Lubbe
1168,Portfolio/Penguin
1169,Mills & Boon Limited
1170,Seuil
1171,Pyramid Books
1172,Harlequin Books
1173,Asahi Shuppansha
1174,Zanichelli
1175,Bloom books
1176,Olive Branch Press
1177,M. Dekker
1178,Uganda Bookshop
1179,Teach Yourself
1180,Caribbean Educational Publishers
1181,Drzewo Babel
1182,Juliart
1183,Pustaka Indonesia
1184,McFarland
1185,Globe Pequot Press
1186,Square One Publishers
1187,McSweeney's
1188,Krause Publications
1189,LWW
1190,Hatje Cantz Publishers & Ink Tree
1191,Walker Books (UK)
1192,Editions des Femmes
1193,Pearson Longman
1194,Hayy Kitap
1195,Balzer + Bray
1196,T. Nelson
1197,HarperLuxe
1198,Penguin Random House Australia
1199,Orion Children's Books
1200,Springer Gabler
1201,Creation House
1202,Arena Verlag GmbH
1203,VHSG
1204,SARVIER
1205,Forever
1206,Naval Institute Press
1207,University of Ottawa Press/Les Presses de l'Universite d'Ottawa
1208,Nobel Yayin Dagitim
1209,Verlag der landwirthschaftlichen Gesellschaft
1210,Top of the Mountain Publishing
1211,LexisNexis
1212,Palombi Editori
1213,Dial Books
1214,Genta Pub.
1215,Thomson ELT
1216,Irwin Law
1217,Profile Books Ltd
1218,HarperPaperbacks
1219,Editions First
1220,Portfolio
1221,Nation Press
1222,"Little, Brown Young Readers"
1223,Kali for Women
1224,"EDITORIAL AFERS, S.L."
1225,Salamandra Black
1226,Hyperion
1227,Random House of Canada
1228,Grijalbo
1229,Virgin
1230,Vintage Books
1231,Pearson/Addison Wesley
1232,Continuum
1233,Galaxy Press
1234,Nowa Era
1235,Vilo International
1236,Adam Publishers and Distributors
1237,Dell Pub. Co.
1238,Juggernaut Publication
1239,Brill
1240,"Apple Academic Press, Incorporated"
1241,"SAGE Publications, Inc."
1242,Secretariat du CorpusSCO
1243,Cassell & Company
1244,Berklee Press
1245,Carnegie Endowment for Intl Peace
1246,Molino
1247,Ed. France loisirs
1248,African American Images
1249,McGraw-Hill Ryerson
1250,"Dewan Bahasa dan Pustaka, Kementerian Pendidikan Malaysia"
1251,ALBIN MICHEL-JEUNESSE
1252,Ananda
1253,Pointer Publishers
1254,Inner Traditions
1255,Albin Michel Jeunesse
1256,PT RajaGrafindo Persada
